#Assay	Accession	SRA Accession	Replicate	Sample ID	Yeast Target Common Name
ChIP-exo	GSM4450141	SRX8043332	rep1	17120	Stb6
ChIP-exo	GSM4450142	SRX8043333	rep1	14394	Std1
ChIP-exo	GSM4450143	SRX8043334	rep1	12862	Ste12
ChIP-exo	GSM4450144	SRX8043335	rep2	15802	Ste12
ChIP-exo	GSM4450145	SRX8043336	rep1	14531	Sth1
ChIP-exo	GSM4450146	SRX8043337	rep2	15805	Sth1
ChIP-exo	GSM4450147	SRX8043338	rep3	15812	Sth1
ChIP-exo	GSM4450148	SRX8043339	rep1	17947	Stm1
ChIP-exo	GSM4450149	SRX8043340	rep1	11808	Stp1
ChIP-exo	GSM4450150	SRX8043341	rep2	14293	Stp1
ChIP-exo	GSM4450151	SRX8043342	rep1	13139	Stp2
ChIP-exo	GSM4450152	SRX8043343	rep2	17035	Stp2
ChIP-exo	GSM4450153	SRX8043344	rep1	11929	Stp4
